Date,Episode,Movies,Documentaries,Shows,Books,Podcasts,Music,Articles,Misc.
6/23/2022,Steve Brusatte,,,Parts Unknown,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America Trade Book, Erik Larson, bookshop.org",,,,
6/23/2022,Steve Brusatte,,,,"Kitchen Confidential, Anthony Bourdain",,,,
,,,,,,,,,
8/1/2022,Shaun White,Top Gun,Tony Robbins: I Am Not Your Guru,Vampire Diaries,"Me and Muhammad Ali, Jabari Asim and AG Ford, bookshop.org",,HAIM,,
8/1/2022,Shaun White,Goodwill Hunting,The Weight of Gold,The Great,"The Tipping Point, Malcolm Gladwell, bookshop.org",,Bad Things,,
8/1/2022,Shaun White,,jeen-yuhs: A Kanye Trilogy,Drive to Survive,"Moby Dick, Herman Melville, bookshop.org",,The Black Keys,,
8/1/2022,Shaun White,,,The Jersey -  Disney show,"The Old Man and the Sea, Ernest Hemingway, bookshop.org",,,,
8/1/2022,Shaun White,,,,"The Odyssey, Homer, bookshop.org",,,,
8/1/2022,Shaun White,,,,"Jaws, Peter Benchley, bookshop.org",,,,
8/1/2022,Shaun White,,,,"Man-VS-Nature, Ponk Vonsydow, bookshop.org",,,,
8/1/2022,Shaun White,,,,"The Iliad, Homer, bookshop.org",,,,
,,,,,,,,,
8/4/2022,Tracy Dennis-Tiwary,,,,On Killing,"Nobody's Listening, Right?, Apple Podcasts",,Hold Onto Your Hats (and Bags). Travelers to Europe Face Chaos. New York Times,
8/4/2022,Tracy Dennis-Tiwary,,,,"Future Tense: Why Anxiety Is Good for You (Even Though It Feels Bad), Tracy Dennis-Tiwary, bookshop.org","Revisionist History, Apple Podcasts",,,
8/4/2022,Tracy Dennis-Tiwary,,,,The Language of Life,,,,
,,,,,,,,,
7/28/2022,Malcolm Gladwell,Arthur,George Carlin's American Dream,The Brady Bunch,"The Tipping Point, Malcolm Gladwell","Revisionist History, Apple Podcasts",,,
7/28/2022,Malcolm Gladwell,,,The Flinstones,"Blink, Malcolm Gladwell","This Week in Virology, Apple Podcasts",,,
7/28/2022,Malcolm Gladwell,,,Will and Grace,"Outliers, Malcolm Gladwell","Car Show! with Eddie Alterman, Apple Podcasts",,,
7/28/2022,Malcolm Gladwell,,,Top Gear,"David and Goliath, Malcolm Gladwell",,,,
7/28/2022,Malcolm Gladwell,,,,"Talk to Strangers, Malcolm Gladwell",,,,
,,,,,,,,,
8/8/2022,Jesse Tyler Ferguson,Ice Age,,Modern Family,"Escape and Suicide of John Wilkes Booth, Finis L. Bates ","Gay Pride and Prejudice, Spotify",,,"Assasains, Playbill"
8/8/2022,Jesse Tyler Ferguson,Ice Age: Collision Course,,Do Not Disturb,,"Quitters, Apple Podcasts",,,"The 25th Annual Putnam County Spelling Bee, Playbill"
8/8/2022,Jesse Tyler Ferguson,,,The Class,,,,,"Take Me Out, Playbill"
8/8/2022,Jesse Tyler Ferguson,,,Friday Night Lights,,,,,
8/8/2022,Jesse Tyler Ferguson,,,Extreme Makeover Home Edition,,,,,
,,,,,,,,,
8/15/2022,Ben Stiller,Tropic Thunder,,Rehearsal,,,,,
8/15/2022,Ben Stiller,Night at the Museum,,Severance,,,,,
8/15/2022,Ben Stiller,Zoolander,,The Ben Stiller Show,,,,,
8/15/2022,Ben Stiller,Zoolander 2,,Kids in the Hall,,,,,
8/15/2022,Ben Stiller,Chips,,Escape at Dannemora,,,,,
8/15/2022,Ben Stiller,The Warriors,,Ted Lasso,,,,,
8/15/2022,Ben Stiller,The Exorcist,,Saturday Night Live,,,,,
8/15/2022,Ben Stiller,Scarface,,30 Rock,,,,,
8/15/2022,Ben Stiller,Idiocracy,,Game of Thrones,,,,,
8/15/2022,Ben Stiller,Bottle rocket,,West Wing,,,,,
8/15/2022,Ben Stiller,Swingers,,Sopranos,,,,,
8/15/2022,Ben Stiller,Happy Gilmore,,Cheers,,,,,
8/15/2022,Ben Stiller,The Big Picture,,Mad Men,,,,,
8/15/2022,Ben Stiller,Meet the Parents,,,,,,,
8/15/2022,Ben Stiller,Something About Mary,,,,,,,
8/15/2022,Ben Stiller,Flirting with Disaster,,,,,,,
8/15/2022,Ben Stiller,Silver Linings Playbook,,,,,,,
8/15/2022,Ben Stiller,Raising Arizona,,,,,,,
8/15/2022,Ben Stiller,Spanking the Monkey,,,,,,,
8/15/2022,Ben Stiller,Zero Effect,,,,,,,
8/15/2022,Ben Stiller,Thief,,,,,,,
,,,,,,,,,
8/18/2022,Woo-Kyoung Ahn,,,,Thinking 101: How to Reason Better to Live Better,,,,
8/18/2022,Woo-Kyoung Ahn,,,,The Weirdest People in the World,,,,
8/18/2022,Woo-Kyoung Ahn,,,,"Behave, Robert",,,,
8/18/2022,Woo-Kyoung Ahn,,,,"Washington: A Life, Ron Chernow",,,,
,,,,,,,,,
8/11/2022,David Lieberman,,The Anarchists,,"Washington: A Life, Ron Chernow",,,,
8/11/2022,David Lieberman,,,,"Mindreader: The New Science of Deciphering What People Really Think, What They Really Want, and Who They Really Are, David Lieberman",,,,
,,,,,,,,,
8/22/2022,Zoey Deutch,"Set it Up, Netflix",,The Politician,,,"Scenes from a Restaurant, Billy Joel",,
8/22/2022,Zoey Deutch,Everybody Wants Some,,Caroline in the City,,,,,
8/22/2022,Zoey Deutch,The Outfit,,,,,,,
8/22/2022,Zoey Deutch,Not Okay,,,,,,,
8/22/2022,Zoey Deutch,Pretty in Pink,,,,,,,
8/22/2022,Zoey Deutch,Some Kind of Wonderful,,,,,,,
8/22/2022,Zoey Deutch,Howard the Duck,,,,,,,
8/22/2022,Zoey Deutch,The Great Outdoors,,,,,,,
8/22/2022,Zoey Deutch,Back to the Future,,,,,,,
8/22/2022,Zoey Deutch,Zombieland,,,,,,,
,,,,,,,,,
8/29/2022,Neil Patrick Harris,The Prestige,,In & Of Itself,"The Prestige, Christopher Priest",,,,Rent
8/29/2022,Neil Patrick Harris,Harold and Kumar,,Doogie Howser,Essentialism,,,,
8/29/2022,Neil Patrick Harris,Gone Girl,,Uncoupled,A Series of Unfortunate Events,,,,
8/29/2022,Neil Patrick Harris,This is Where I Leave You,,How I Met Your Mother,Dopamine Nation,,,,
8/29/2022,Neil Patrick Harris,,,Sex in the City,,,,,
8/29/2022,Neil Patrick Harris,,,90210,,,,,
8/29/2022,Neil Patrick Harris,,,Emily In Paris,,,,,
,,,,,,,,,
9/19/2022,Ice-T,Colors,,Law and Order SVU,Split Decision,,Power (Album),,
9/19/2022,Ice-T,,,Sway's Universe,Hunting El Chapo,,,,
,,,,,,,,,
9/29/2022,Saul Kassin,,The Confessions on Frontline,Making a Murderer,Dooped: Why Inncocent People Confess,,,,
9/29/2022,Saul Kassin,,Central Park 5,Dahmer,"Outliers, Malcolm Gladwell",,,,
9/29/2022,Saul Kassin,,Bling Ring,,,,,,
,,,,,,,,,
9/23/2021,Andrew Huberman,The Right Stuff,Real Sports,,"This is Your Mind on Plants, Michael Pollan",Huberman Lab,,,
9/23/2021,Andrew Huberman,,,,Dopamine Nation,,,,
9/23/2021,Andrew Huberman,,,,Why We Sleep,,,,
,,,,,,,,,
11/4/2021,Paul Bloom,John Wick,Inside Bill's Brain,Scenes from a Marriage,"Against Empathy, Paul Bloom",,,"Covid's Partisan Errors, New York Times",
11/4/2021,Paul Bloom,Once Upon a Time in Hollywood,,Squid Game,"Just Babies: The Origin of Good and Evil, Paul Bloom",,,,
11/4/2021,Paul Bloom,Falling Down,,Two and a Half Men,"How Pleasure Works, Paul Bloom",,,,
11/4/2021,Paul Bloom,,,Big Bang Theory,"The Sweet Spot, Paul Bloom",,,,
11/4/2021,Paul Bloom,,,,Notes From the Underground,,,,
11/4/2021,Paul Bloom,,,,50 Shades of Grey,,,,
11/4/2021,Paul Bloom,,,,Everybody Lies,,,,
,,,,,,,,,
9/26/2022,Jennette McCurdy,Titanic,,iCarly,I'm Glad My Mom Died,"Where Should We Begin, Esther Perel",,,"One Woman Show, I'm Glad My Mom Died"
9/26/2022,Jennette McCurdy,Eternal Sunshine of the Spotless Mind,,Blue Bloods,Behave,Empty Inside,,,
9/26/2022,Jennette McCurdy,,,911,,,,,
,,,,,,,,,
9/5/2022,Tom Hanks,Pinocchio,The Last Movie Stars,The Love Boat,"The Carpetbaggers, Harold Robbins",Revisionist History,Smoking Right into Birmingham,,
9/5/2022,Tom Hanks,Larry Crowne,,Bosom Buddies,Avenger,,,,
9/5/2022,Tom Hanks,High Fidelity,,Will and Grace,Sidartha,,,,
9/5/2022,Tom Hanks,Road to Perdition,,,,,,,
9/5/2022,Tom Hanks,Angels and Demons,,,,,,,
9/5/2022,Tom Hanks,Butch Cassidy and the Sundance Kid,,,,,,,
9/5/2022,Tom Hanks,Philadelphia,,,,,,,
9/5/2022,Tom Hanks,And the Band Played On,,,,,,,
9/5/2022,Tom Hanks,King Kong,,,,,,,
9/5/2022,Tom Hanks,Smoky and the Banditt,,,,,,,
9/5/2022,Tom Hanks,Used Cars,,,,,,,
9/5/2022,Tom Hanks,Forest Gump,,,,,,,
9/5/2022,Tom Hanks,James Bond,,,,,,,
9/5/2022,Tom Hanks,Swiss Family Robinson,,,,,,,
,,,,,,,,,
10/3/2022,Kevin Bacon,Footloose,Val,Euphoria,,Nobody's Listening,"Running Up That Hill, Kate Bush",,Slab Boys (play)
10/3/2022,Kevin Bacon,Karate Kid,,As We See it,,,,,
10/3/2022,Kevin Bacon,Elf,,Stranger Things,,,,,
10/3/2022,Kevin Bacon,Home Alone,,Punk'd,,,,,
10/3/2022,Kevin Bacon,She's Having a Baby,,City on a Hill,,,,,
10/3/2022,Kevin Bacon,Planes Trains and Automobiles,,I Love Dick,,,,,
10/3/2022,Kevin Bacon,Breakfast Club,,The Closer,,,,,
10/3/2022,Kevin Bacon,Shawshank Redemption,,,,,,,
10/3/2022,Kevin Bacon,Diner,,,,,,,
10/3/2022,Kevin Bacon,Without a Paddle,,,,,,,
10/3/2022,Kevin Bacon,Mystic River,,,,,,,
10/3/2022,Kevin Bacon,JFK,,,,,,,
10/3/2022,Kevin Bacon,They/Them,,,,,,,
10/3/2022,Kevin Bacon,Friday the Thirteenth,,,,,,,
10/3/2022,Kevin Bacon,Get Out,,,,,,,
,,,,,,,,,
9/1/2022,Erin Kimmerle,RRR,,,We Carry Their Bones,,,,
,,,,,,,,,
10/6/2022,Jonathan Abrams,,The Story of Jay-Z,Atlanta,Boys Among Men,,"Bullet Train, Ibrahim",,
10/6/2022,Jonathan Abrams,,DMX: Don't Try to Understand,Adult Swim,All The Pieces Matter,,Tupac,,
10/6/2022,Jonathan Abrams,,Watch jeen-yuhs: A Kanye Trilogy,The Patient,The Come Up,,"Walk This Way, Run DMC",,
10/6/2022,Jonathan Abrams,,,Watch the Sound - with Mark Ronson,,,NWA,,
10/6/2022,Jonathan Abrams,,,Alone,,,Ice Cube,,
10/6/2022,Jonathan Abrams,,,Tell Me Lies,,,Ghetto Boys,,
10/6/2022,Jonathan Abrams,,,,,,DJ Kool Herc,,
10/6/2022,Jonathan Abrams,,,,,,Afrika Bambaataa ,,
10/6/2022,Jonathan Abrams,,,,,,Grand Master Flash,,
10/6/2022,Jonathan Abrams,,,,,,De La Sol,,
10/6/2022,Jonathan Abrams,,,,,,"Colors, Ice-T",,
10/6/2022,Jonathan Abrams,,,,,,"6 'n the Mornin', Ice-T",,
10/6/2022,Jonathan Abrams,,,,,,Eazy-E,,
10/6/2022,Jonathan Abrams,,,,,,Dr Dre,,
10/6/2022,Jonathan Abrams,,,,,,Jay-Z,,
10/6/2022,Jonathan Abrams,,,,,,J Dilla,,
10/6/2022,Jonathan Abrams,,,,,,Common,,
10/6/2022,Jonathan Abrams,,,,,,"Lose Yourself, Eminem",,
10/6/2022,Jonathan Abrams,,,,,,Outkast,,
10/6/2022,Jonathan Abrams,,,,,,Ludacris,,
10/6/2022,Jonathan Abrams,,,,,,"Throw the D, 2 Live Crew",,
10/6/2022,Jonathan Abrams,,,,,,DJ Screw,,
10/6/2022,Jonathan Abrams,,,,,,Scarface,,
10/6/2022,Jonathan Abrams,,,,,,Lil John,,
10/6/2022,Jonathan Abrams,,,,,,Killer Mike,,
10/6/2022,Jonathan Abrams,,,,,,Cash Money,,
10/6/2022,Jonathan Abrams,,,,,,Puff Daddy,,
10/6/2022,Jonathan Abrams,,,,,,Biggie,,
10/6/2022,Jonathan Abrams,,,,,,Tribe Called Quest,,
10/6/2022,Jonathan Abrams,,,,,,"Illmatic, Nas",,
10/6/2022,Jonathan Abrams,,,,,,"The Blacker the Berry, Kendrick Lamar",,
10/6/2022,Jonathan Abrams,,,,,,"Damn, Kendrick Lamar",,
10/6/2022,Jonathan Abrams,,,,,,Public Enemy ,,
10/6/2022,Jonathan Abrams,,,,,,Snoop,,
10/6/2022,Jonathan Abrams,,,,,,Will Smith,,
10/6/2022,Jonathan Abrams,,,,,,Miles Davis,,
10/6/2022,Jonathan Abrams,,,,,,Cole Train,,
10/6/2022,Jonathan Abrams,,,,,,Dj Khalid ,,
10/6/2022,Jonathan Abrams,,,,,,Rhakim Ali,,
10/6/2022,Jonathan Abrams,,,,,,Anderson .Paak,,
,,,,,,,,,
10/17/2022,Elisabeth Moss,Boogie Nights,,Handmaid's Tale,,Revisionist History,,,
10/17/2022,Elisabeth Moss,Call Me By Your Name,,Parenthood,,Nobody's Listening,,,
10/17/2022,Elisabeth Moss,A Serious Man,,The Good Place,,,,,
10/17/2022,Elisabeth Moss,The Judge,,West Wing,,,,,
10/17/2022,Elisabeth Moss,The Power of the Dog,,Mad Men,,,,,
10/17/2022,Elisabeth Moss,,,Off Camera with Sam Jones,,,,,
10/17/2022,Elisabeth Moss,,,Fargo,,,,,
,,,,,,,,,
10/13/2022,Reza Aslan,,Hostages,The Leftovers,"Zealot: The Life and Times of Jesus of Nazareth, Reza Aslan",Making Sense with Sam Harris,,Humans 'predisposed' to believe in gods and the afterlife,
10/13/2022,Reza Aslan,,,Friends Leather Pants episode,"An American Martyr in Persia: The Epic Life and Tragic Death of Howard Baskerville, Reza Aslan",Meetaphysical Milkshake,,Are kids born with an innate belief in God?,
10/13/2022,Reza Aslan,,,,The Bible,,,,
,,,,,,,,,
10/25/2022,Hasan Minhaj,RRR,,The King's Jester,,,,,
10/25/2022,Hasan Minhaj,The Lunchbox,,Parenthood,,,,,
